# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\PD\wezel-iot-fpga\HDL\SpeechAI.csv
# Generated on: Sat Apr 27 20:15:16 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
audio1_audio[7],Output,PIN_AA20,4,B4_N0,3.3-V LVTTL,,,,,
audio1_audio[6],Output,PIN_AB21,4,B4_N0,3.3-V LVTTL,,,,,
audio1_audio[5],Output,PIN_AA17,4,B4_N0,3.3-V LVTTL,,,,,
audio1_audio[4],Output,PIN_AB17,4,B4_N0,3.3-V LVTTL,,,,,
audio1_audio[3],Output,PIN_AA12,4,B4_N0,3.3-V LVTTL,,,,,
audio1_audio[2],Output,PIN_AA11,4,B4_N0,3.3-V LVTTL,,,,,
audio1_audio[1],Output,PIN_Y10,3,B3_N0,3.3-V LVTTL,,,,,
audio1_audio[0],Output,PIN_AB9,3,B3_N0,3.3-V LVTTL,,,,,
audio_audio[7],Output,PIN_V10,3,B3_N0,3.3-V LVTTL,,8ma,,,
audio_audio[6],Output,PIN_W10,3,B3_N0,3.3-V LVTTL,,8ma,,,
audio_audio[5],Output,PIN_V9,3,B3_N0,3.3-V LVTTL,,8ma,,,
audio_audio[4],Output,PIN_W9,3,B3_N0,3.3-V LVTTL,,8ma,,,
audio_audio[3],Output,PIN_V8,3,B3_N0,3.3-V LVTTL,,8ma,,,
audio_audio[2],Output,PIN_W8,3,B3_N0,3.3-V LVTTL,,8ma,,,
audio_audio[1],Output,PIN_V7,3,B3_N0,3.3-V LVTTL,,8ma,,,
audio_audio[0],Output,PIN_W7,3,B3_N0,3.3-V LVTTL,,8ma,,,
